id,first_name,last_name,age,gender,t-shirt_size,colour,type,avatar
1,Michele,Cariss,17,Female,M,Green,text/plain,1
2,Fan,Scay,49,Female,3XL,Khaki,text/plain,6
3,Kore,Lorkin,24,Female,L,Orange,text/plain,6
4,Grace,Beel,79,Male,L,Orange,text/plain,6
5,Jerald,Kelson,70,Male,M,Violet,text/plain,4
6,Carline,Wellsman,98,Female,L,Indigo,text/plain,3
7,Luce,Jahnig,75,Male,XS,Red,text/plain,5
8,Nathalia,McRory,82,Female,M,Goldenrod,text/plain,1
9,Fred,Thorius,27,Female,3XL,Maroon,text/plain,5
10,Roshelle,Gooly,97,Female,XS,Puce,text/plain,5
11,Matty,Scaysbrook,43,Female,XS,Indigo,text/plain,5
12,Tyler,Cronchey,62,Male,2XL,Purple,text/plain,5
13,Cornie,Lovegrove,60,Male,2XL,Khaki,text/plain,6
14,Ruby,Leyman,32,Male,XL,Yellow,text/plain,6
15,Feliks,Libermore,23,Male,XL,Khaki,text/plain,6
16,Ky,Ollie,95,Male,XL,Fuscia,text/plain,6
17,Maura,Locks,46,Female,2XL,Purple,text/plain,4
18,Carmine,Arnecke,46,Female,S,Mauv,text/plain,4
19,Cesar,Ruegg,29,Male,L,Khaki,text/plain,3
20,Ulysses,Digg,99,Male,L,Blue,text/plain,3
21,Burt,Cropton,97,Male,XS,Teal,text/plain,3
22,Salim,Spittal,77,Male,XL,Fuscia,text/plain,6
23,Aldous,Weber,59,Male,2XL,Orange,text/plain,5
24,Alfonse,Pirot,33,Male,L,Fuscia,text/plain,3
25,Darrel,Kivell,42,Male,3XL,Yellow,text/plain,5
26,Tito,Gooly,44,Male,XL,Purple,text/plain,2
27,Reade,Iban,78,Male,XL,Yellow,text/plain,6
28,Benton,Blowick,82,Male,L,Indigo,text/plain,2
29,Normy,Cazereau,29,Male,3XL,Pink,text/plain,5
30,Freda,Yorston,50,Female,XS,Yellow,text/plain,1
31,Sheelah,Rowe,77,Female,L,Aquamarine,text/plain,6
32,Dewain,Bracci,55,Male,L,Mauv,text/plain,6
33,Raychel,Blowen,72,Female,2XL,Puce,text/plain,5
34,Denis,Stoltz,77,Male,3XL,Blue,text/plain,6
35,Catrina,Mellor,53,Female,M,Puce,text/plain,2
36,Luis,Chesterman,63,Male,2XL,Goldenrod,text/plain,1
37,Waylan,Zupo,54,Male,2XL,Fuscia,text/plain,4
38,Debbi,Corro,37,Female,M,Crimson,text/plain,1
39,Arnie,Aire,47,Male,XL,Indigo,text/plain,4
40,Rheba,Gothard,52,Female,M,Red,text/plain,4
41,Jacinda,Farland,87,Female,3XL,Aquamarine,text/plain,3
42,Ruddie,Bricklebank,37,Male,XS,Teal,text/plain,6
43,Karyl,Bras,77,Female,XS,Violet,text/plain,1
44,Skell,Seson,36,Male,2XL,Purple,text/plain,2
45,Bary,Garry,78,Male,2XL,Mauv,text/plain,2
46,Hillary,Antosik,94,Male,XL,Aquamarine,text/plain,4
47,Ronnie,Forde,87,Male,M,Red,text/plain,4
48,Doris,Soutar,72,Female,L,Pink,text/plain,6
49,Livy,Lebell,98,Female,M,Maroon,text/plain,1
50,Brigit,Haggish,94,Female,S,Violet,text/plain,3
51,Darrin,Gillooly,98,Male,XL,Blue,text/plain,6
52,Cara,Olensby,87,Female,XL,Aquamarine,text/plain,6
53,Loralee,Mead,29,Female,S,Turquoise,text/plain,4
54,Dolorita,Sheeran,44,Female,XS,Aquamarine,text/plain,1
55,Meredith,Geistbeck,93,Male,XS,Teal,text/plain,3
56,Jilly,Sammars,57,Female,XL,Teal,text/plain,6
57,Vida,Percy,48,Female,M,Yellow,text/plain,5
58,Hyatt,O'Coskerry,75,Male,XL,Red,text/plain,1
59,Nikolos,Domerc,42,Male,L,Pink,text/plain,1
60,Emanuel,Ashbey,76,Male,L,Teal,text/plain,4
61,Rakel,Stonnell,52,Female,2XL,Green,text/plain,1
62,Darb,Tippler,77,Female,2XL,Pink,text/plain,5
63,Friederike,Lasty,88,Female,3XL,Khaki,text/plain,5
64,Ardisj,Nuschke,69,Female,3XL,Blue,text/plain,3
65,Arnie,Matussov,37,Male,XL,Purple,text/plain,3
